Time,[A],[B]
0,1,100
1,86.0213,6.68141e-14
2,63.9974,9.08981e-15
3,47.6122,-2.98458e-13
4,35.4221,5.27711e-13
5,26.3531,-2.70112e-14
6,19.6059,-1.27146e-13
7,14.5862,2.77771e-14
8,10.8517,8.67977e-14
9,8.07335,-6.92369e-15
10,6.00634,4.75161e-13
11,4.46854,8.32914e-14
12,3.32446,2.23401e-14
13,2.4733,9.26468e-15
14,1.84006,5.22975e-15
15,1.36895,3.72207e-15
16,1.01846,3.08e-15
17,0.757705,2.83169e-15
18,0.563711,2.89685e-15
19,0.419384,3.18149e-15
20,0.312009,3.67386e-15
21,0.232126,4.40392e-15
22,0.172695,5.42789e-15
23,0.12848,6.82975e-15
24,0.0955851,8.72689e-15
25,0.0711125,1.12794e-14
26,0.0529056,1.47031e-14
27,0.0393602,1.92879e-14
28,0.0292828,2.54219e-14
29,0.0217856,3.36244e-14
30,0.0162078,4.45895e-14
31,0.0120581,5.92453e-14
32,0.00897089,7.8832e-14
33,0.00667408,1.05007e-13
34,0.00496532,1.39984e-13
35,0.00369405,1.86724e-13
36,0.00274826,2.4918e-13
37,0.00204463,3.32635e-13
38,0.00152114,4.4415e-13
39,0.00113168,5.93159e-13
40,0.00084194,7.92265e-13
41,0.000626378,1.05831e-12
42,0.000466007,1.41381e-12
43,0.000346695,1.88882e-12
44,0.000257931,2.52353e-12
45,0.000191893,3.37164e-12
46,0.000142763,4.50487e-12
47,0.000106211,6.0191e-12
48,7.90181e-05,8.04241e-12
49,5.87871e-05,1.0746e-11
50,4.37359e-05,1.43584e-11
51,3.25382e-05,1.91854e-11
52,2.42075e-05,2.56352e-11
53,1.80096e-05,3.42534e-11
54,1.33986e-05,4.57691e-11
55,9.96819e-06,6.11562e-11
56,7.41604e-06,8.17166e-11
57,5.51731e-06,1.09189e-10
58,4.10472e-06,1.45898e-10
59,3.05379e-06,1.94948e-10
60,2.27193e-06,2.60489e-10
61,1.69025e-06,3.48065e-10
62,1.25749e-06,4.65083e-10
63,9.35538e-07,6.21443e-10
64,6.96013e-07,8.30371e-10
65,5.17813e-07,1.10954e-09
66,3.85237e-07,1.48256e-09
67,2.86605e-07,1.981e-09
68,2.13226e-07,2.64701e-09
69,1.58634e-07,3.53692e-09
70,1.18019e-07,4.72603e-09
71,8.78024e-08,6.31491e-09
72,6.53224e-08,8.43797e-09
73,4.85979e-08,1.12748e-08
74,3.61554e-08,1.50654e-08
75,2.68986e-08,2.01303e-08
76,2.00117e-08,2.68981e-08
77,1.48881e-08,3.59412e-08
78,1.10763e-08,4.80245e-08
79,8.24046e-09,6.41702e-08
80,6.13066e-09,8.57442e-08
81,4.56103e-09,1.14571e-07
82,3.39327e-09,1.5309e-07
83,2.52449e-09,2.04558e-07
84,1.87815e-09,2.7333e-07
85,1.39729e-09,3.65223e-07
86,1.03954e-09,4.88011e-07
87,7.73387e-10,6.52079e-07
88,5.75377e-10,8.71307e-07
89,4.28064e-10,1.16424e-06
90,3.18467e-10,1.55565e-06
91,2.3693e-10,2.07866e-06
92,1.76269e-10,2.7775e-06
93,1.31139e-10,3.71129e-06
94,9.75639e-11,4.95902e-06
95,7.25848e-11,6.62624e-06
96,5.40012e-11,8.85397e-06
97,4.01755e-11,1.18307e-05
98,2.98895e-11,1.58081e-05
99,2.22371e-11,2.11227e-05
100,1.65439e-11,2.82242e-05
101,1.23084e-11,3.77131e-05
102,9.15722e-12,5.03922e-05
103,6.81288e-12,6.73339e-05
104,5.06875e-12,8.99714e-05
105,3.77117e-12,0.00012022
106,2.80581e-12,0.000160637
107,2.08761e-12,0.000214643
108,1.55328e-12,0.000286806
109,1.15576e-12,0.000383229
110,8.60019e-13,0.00051207
111,6.39993e-13,0.000684227
112,4.76299e-13,0.000914263
113,3.54515e-13,0.00122164
114,2.6391e-13,0.00163235
115,1.96502e-13,0.00218114
116,1.46352e-13,0.00291444
117,1.09041e-13,0.00389427
118,8.12817e-14,0.00520351
119,6.06292e-14,0.00695292
120,4.52639e-14,0.00929048
121,3.38323e-14,0.0124139
122,2.53275e-14,0.0165875
123,1.90003e-14,0.0221641
124,1.42937e-14,0.0296157
125,1.07932e-14,0.0395724
126,8.19081e-15,0.0528766
127,6.2575e-15,0.0706535
128,4.82334e-15,0.0944071
129,3.76243e-15,0.126147
130,2.98197e-15,0.168557
131,2.41422e-15,0.225225
132,2.01092e-15,0.300946
133,1.73983e-15,0.402123
134,1.58366e-15,0.537316
135,1.54268e-15,0.717961
136,1.64536e-15,0.959338
137,1.98111e-15,1.28187
138,2.80572e-15,1.71283
139,4.93776e-15,2.28867
140,1.1612e-14,3.05812
141,4.0223e-14,4.08626
142,2.3222e-13,5.46005
143,2.52577e-12,7.29571
144,5.94528e-11,9.74851
145,5.83598e-09,13.0259
146,2.98714e-06,17.4052
147,0.0137413,23.2432
148,27.0827,1.04135
149,21.0299,7.78827e-05
150,15.6457,6.90714e-08
151,11.6399,3.98887e-10
152,8.65976,9.28922e-12
153,6.44261,5.64435e-13
154,4.79311,1.33362e-13
155,3.56593,9.75886e-14
156,2.65295,2.1703e-14
157,1.97372,6.11859e-15
158,1.46839,3.7159e-15
159,1.09244,-3.85474e-15
160,0.812741,-4.56942e-15
161,0.604656,-4.60212e-15
162,0.449846,-5.0859e-15
163,0.334672,-5.79681e-15
164,0.248986,-6.89455e-15
165,0.185238,-8.44693e-15
166,0.137812,-1.05829e-14
167,0.102528,-1.34787e-14
168,0.0762778,-1.7379e-14
169,0.0567484,-2.26135e-14
170,0.0422191,-2.96253e-14
171,0.0314098,-3.9008e-14
172,0.023368,-5.15558e-14
173,0.0173851,-6.83309e-14
174,0.012934,-9.07529e-14
175,0.0096225,-1.20719e-13
176,0.00715885,-1.60766e-13
177,0.00532598,-2.1428e-13
178,0.00396237,-2.85791e-13
179,0.00294788,-3.81347e-13
180,0.00219314,-5.09032e-13
181,0.00163163,-6.79649e-13
182,0.00121389,-9.0763e-13
183,0.000903095,-1.21226e-12
184,0.000671876,-1.61931e-12
185,0.000499856,-2.16321e-12
186,0.000371878,-2.88998e-12
187,0.000276666,-3.86109e-12
188,0.000205831,-5.15868e-12
